"","Species","Selected_by"
"1","Xylella","Grapevines"
"2","Khapra beetle","seed"
"3","Exotic fruit fly","Fruit"
"4","Karnal bunt","Wheat"
"5","Huanglongbing","Citrus"
"6","Gypsy moths","Total"
"7","Tramp ants","and"
"8","Bees mites","Orchard"
"9","Giant African snail","Vegetables"
"10","Stink bug","flower"
"11","Zebra chip","Tomatoes"
"12","Ug99","Barley"
"13","Russian wheat aphid","Broadacre"
"14","Citrus canker","Citrus"
"15","Guava rust","Trees"
"16","Airborne phytophthora","Trees"
"17","Exotic bees","rchard"
"18","Panama disease tropical race 4","Bananas"
"19","Potato cyst nematode","Potatoes"
"20","Leaf miner","t/ha"
